"","Estimate","SE","Chi2","df","p","z_wald","p_wald"
"(Intercept)"," 0.18","0.18","  NA",NA,"   NA",1.03761594039023,0.299448893687753
"conditiongazing","-0.08","0.24","8.52",4,"0.074",-0.356080888219234,0.721779989443468
"conditionp+g","-0.33","0.20","  NA",NA,"   NA",-1.65116265270421,0.0987053668851454
"conditionpointing","-0.32","0.19","  NA",NA,"   NA",-1.72248787278955,0.0849811777640254
"conditionthrowing","-0.56","0.20","  NA",NA,"   NA",-2.79603951705569,0.00517330744639203
"z.trial","-0.12","0.07","2.86",1,"0.091",-1.73750018391303,0.0822989215857533
"z.session","-0.05","0.07","0.59",1,"0.441",-0.774199032794745,0.438813100176939
"z.age","-0.13","0.09","2.00",1,"0.157",-1.44656587611464,0.148018549253156
"sexm","-0.10","0.17","0.30",1,"0.582",-0.552755677849974,0.580430722001052
